"Data Note: The following data is based on language in user’s browser settings.

For ""Language"" (Column B), Google Analytics uses ISO code for language, followed by ISO code for country

ISO language code definitions can be found at https://www.loc.gov/standards/iso639-2/php/code_list.php. We suggest ignoring the country codes after the hyphen and consolidating languages across countries.

Eg: en (English), en-us (English, United States), en-gb (English, Great Britain), and all other ""en-"" strings can combined to find the total number of users with their browser set to English.
",,
Month of Year,Language,Users
202103,ga,9
202103,pl-us,9
202104,sr-latn,9
202103,lv-lv,9
202103,ml-in,9
202104,en-se,9
202104,th,9
202103,ka,9
202104,fr-ch,9
202104,zh-mo,9
202103,en-cr,9
202104,am,9
202104,mk-mk,9
202104,te-in,9
202104,fa,8
202104,nl-be,8
202103,ar-us,8
202103,en-ec,8
202103,te-in,8
202104,en-fr,8
202103,mr-in,8
202104,es-gb,8
202103,en-gr,8
202103,eu,8
202103,hi,8
202104,en-ch,8
202103,et-ee,7
202103,fa,7
202103,yue-hant,7
202104,en-eg,7
202104,nb,7
202103,bg,7
202103,ceb,7
202103,pt-us,7
202104,ak,7
202104,ml,7
202103,ar-sa,7
202103,en-ag,7
202103,en-gb-oxendict,7
202103,en-be,7
202104,fr-ht,7
202104,ko-us,7
202103,af,7
202103,fr-be,7
202103,hy,7
202103,te,7
202104,en-at,7
202104,en-ke,7
202104,en-om,7
202104,is-is,7
202103,en-ke,6
202103,en-sa,6
202103,en-se,6
202103,fa-ir,6
202104,eu,6
202103,en-zw,6
202104,en-pa,6
202104,es-ea,6
202104,lt-lt,6
202104,ru-ua,6
202103,ka-ge,6
202104,en-be,6
202104,pa,6
202103,am,6
202103,en-eg,6
202103,en-fi,6
202103,kn-in,6
202104,ar-jo,6
202104,en-th,6
202104,en-uk,6
202104,gu,6
202104,lv,6
202104,mn,6
202104,my-mm,6
202104,sq-al,6
202104,tr-us,6
202103,bs,6
202103,bs-ba,6
202103,en-ch,6
202103,und,6
202103,ur,6
202103,yi,6
202104,en-cl,6
202104,en-vn,6
202104,es-ca,6
202104,sr,6
202103,en-at,5
202103,en-mm,5
202103,en-xa,5
202103,mk-mk,5
202103,zh-hans-cn,5
202104,bs-ba,5
202104,mr-in,5
202104,ta-in,5
202103,ar-jo,5
202103,en-gh,5
202103,en-vi,5
202103,tr-us,5
202104,eu-es,5
202104,ig,5
202103,bn-in,5
202103,hi-latn,5
202103,my-mm,5
202104,en-xa,5
202104,fil-ph,5
202104,my-zg,5
202104,tl,5
202104,ur-pk,5
202104,en-cy,5
202104,en-um,5
202103,en-bs,5
202103,en-jo,5
202103,en-kr,5
202103,en-sv,5
202103,en-ve,5
202103,my-zg,5
202103,pa-in,5
202103,zh-gb,5
202104,ceb,5
202104,de-us,5
202104,en-br,5
202104,en-do,5
202104,en-vi,5
202104,enus,5
202104,fi,5
202104,lg-ug,5
202104,ta,5
202104,und,5
202103,gn,4
202103,haw,4
202103,lv,4
202103,my,4
202104,en-ec,4
202104,en-tr,4
202103,ar-iq,4
202103,eo,4
202104,bn-us,4
202104,en-gh,4
202104,en-py,4
202104,en-qa,4
202104,fr-be,4
202104,kn-in,4
202103,en-cy,4
202103,eu-es,4
202103,fr-tn,4
202103,sq-al,4
202103,uk-us,4
202104,en-bw,4
202104,es-bz,4
202104,ja-us,4
202104,pt-mz,4
202103,en-dk,4
202103,en-mo,4
202103,en-pl,4
202103,en-tt,4
202103,et,4
202104,af,4
202104,es-it,4
202104,gsw,4
202104,ru-kz,4
202104,zh-hans-cn,4
202103,ar-ar,4
202103,en-aa,4
202103,en-hu,4
202103,en-sk,4
202103,en-sl,4
202103,es-gq,4
202103,fil-ph,4
202103,mk,4
202103,ne-np,4
202103,ru-us,4
202104,ar-ma,4
202104,en-bd,4
202104,en-ir,4
202104,en-lb,4
202104,es-as,4
202104,gu-gb,4
202104,scn,4
202104,zh-ca,4
202103,en-fr,3
202103,es-br,3
202103,es-gb,3
202103,zz-zz,3
202104,bo,3
202104,en-jp,3
202104,en-kr,3
202104,ga,3
202104,mk,3
202104,zz-zz,3
202103,bn-bd,3
202103,en-bw,3
202103,es-ca,3
202103,gu,3
202103,mn,3
202104,az-az,3
202104,es-de,3
202104,es-ic,3
202104,ka-ge,3
202104,te,3
202103,af-za,3
202103,en-do,3
202103,es-de,3
202103,fr-tg,3
202103,kn,3
202104,en-bh,3
202104,en-cm,3
202104,en-id,3
202104,en-mt,3
202104,en-zw,3
202104,gl-es,3
202104,he-us,3
202104,hi-latn,3
202103,es-ic,3
202103,es-ph,3
202103,it-pe,3
202103,ko-us,3
202103,ta,3
202104,ast,3
202104,en-au;q=1,3
202104,en-jo,3
202104,en-mu,3
202104,english,3
202104,ga-ie,3
202104,gd,3
202104,kn,3
202104,ms,3
202104,ti-et,3
202104,yi,3
202103,ar-gb,3
202103,ar-ru,3
202103,ars,3
202103,az,3
202103,doi-in,3
202103,en-,3
202103,en-by,3
202103,en-gt,3
202103,en-kn,3
202103,en-pw,3
202103,en-rs,3
202103,en-sx,3
202103,en-tz,3
202103,en-uk,3
202103,en-uy,3
202103,en-zm,3
202103,es-ai,3
202103,es-au,3
202103,es-ch,3
202103,es-ea,3
202103,fi-us,3
202103,fr-bf,3
202103,fr-ci,3
202103,fr-cm,3
202103,fr-lu,3
202103,hr-us,3
202103,lo,3
202103,ml,3
202103,mn-mn,3
202103,nb-us,3
202103,ru-es,3
202103,sa,3
202103,tr-cy,3
202104,bem,3
202104,en-ag,3
202104,en-dm,3
202104,en-hr,3
202104,en-kh,3
202104,en-lv,3
202104,en-me,3
202104,en-rs,3
202104,en-sl,3
202104,es-ag,3
202104,es-gq,3
202104,fr-ma,3
202104,fr-tn,3
202104,ht,3
202104,id-us,3
202104,is,3
202104,it-fr,3
202104,kde-tz,3
202104,mfe-mu,3
202104,no,3
202104,pl-gb,3
202104,pt-mo,3
202104,ru-gb,3
202104,sq-us,3
202104,uk-us,3
202103,ar-ps,2
202103,cy,2
202103,en-jp,2
202103,en-pa,2
202103,zh-sg,2
202104,el-us,2
202104,en-ae,2
202104,en-gt,2
202104,en-gy,2
202104,haw,2
202104,zh-sg,2
202103,en-en,2
202103,en-qa,2
202103,en-tr,2
202103,en-tw,2
202103,english,2
202103,fr-ma,2
202103,gl-es,2
202103,mi,2
202103,or,2
202104,en-fi,2
202104,en-tw,2
202104,fr-co,2
202104,hi-us,2
202104,my,2
202103,en-hn,2
202103,en-im,2
202103,en-ro,2
202103,ga-ie,2
202103,it-ch,2
202103,km-kh,2
202103,ro-md,2
202103,sv-fi,2
202103,tl,2
202103,yo,2
202104,bn-bd,2
202104,en-io,2
202104,en-it,2
202104,en-lk,2
202104,en-mk,2
202104,en-sv,2
202104,km,2
202103,am-et,2
202103,ar-dz,2
202103,ar-kw,2
202103,ar-kw-u-nu-latn,2
202103,ar-ma,2
202103,ar-qa,2
202103,awa,2
202103,en-hr,2
202103,en-id,2
202103,en-kw,2
202103,en-om,2
202103,en-pn,2
202103,en-ps,2
202103,en-pt,2
202103,en-ru,2
202103,en-tc,2
202103,en-us@posix,2
202103,en-xk,2
202103,fr-km,2
202103,ia,2
202103,ko-cn,2
202103,ko-kp,2
202103,la,2
202103,lg-ug,2
202103,mk-us,2
202103,nn-no,2
202103,ro-us,2
202103,sr-ba,2
202103,zg-us,2
202103,zh-cn_#hans,2
202103,zh-hant-tw,2
202103,zh-jp,2
202104,ar-au,2
202104,ar-sd,2
202104,ar-sy,2
202104,as-in,2
202104,az,2
202104,be,2
202104,be-by,2
202104,en-029,2
202104,en-er,2
202104,en-hu,2
202104,en-na,2
202104,es-es_tradnl,2
202104,fr-mr,2
202104,fr-sn,2
202104,fur,2
202104,gu-us,2
202104,it-es,2
202104,jv,2
202104,lv-no,2
202104,ne,2
202104,nl-co,2
202104,sr-ba,2
202104,uk-se,2
202104,ur,2
202104,uz,2
202104,vi-us,2
202104,wo,2
202104,zh-pa,2
202103,en-bg,1
202103,km,1
202103,ms-my,1
202104,en-ro,1
202104,en-ru,1
202104,eo,1
202104,gn,1
202104,it-us,1
202103,ak,1
202103,ar-ly,1
202103,el-cy,1
202103,en-bb,1
202103,en-it,1
202103,en-lr,1
202103,en-um,1
202103,it-es,1
202103,ne,1
202103,pt-cv,1
202103,pt-es,1
202103,ru-kz,1
202104,af-za,1
202104,ar-lb,1
202104,cs-us,1
202104,el-cy,1
202104,en-ai,1
202104,en-bb,1
202104,en-pl,1
202104,gl-gl,1
202104,hu-us,1
202104,it-sm,1
202104,lo,1
202104,ml-in,1
202104,ro-de,1
202104,sl,1
202103,ar-om,1
202103,byn,1
202103,cy-gb,1
202103,en-bm,1
202103,en-cm,1
202103,en-mk,1
